word,phonetic,meaning,part_of_speech,example_sentence,example_translation
basic,/ˈbeɪsɪk/,基本的,adj.,This is basic knowledge.,这是基本知识。
battle,/ˈbætl/,战斗,n.,They won the battle.,他们赢得了战斗。
bear,/beə(r)/,忍受,v.,I can’t bear the noise.,我受不了噪音。
beat,/biːt/,打败,v.,We beat the team.,我们打败了这支队伍。
begin,/bɪˈɡɪn/,开始,v.,Let’s begin our class.,我们开始上课。
behave,/bɪˈheɪv/,表现,v.,He behaves well.,他表现很好。
believe,/bɪˈliːv/,相信,v.,I believe in you.,我相信你。
belong,/bɪˈlɒŋ/,属于,v.,This book belongs to me.,这本书属于我。
benefit,/ˈbenɪfɪt/,受益,v.,We benefit from exercise.,我们从运动中受益。
bet,/bet/,打赌,v.,I bet you are wrong.,我打赌你错了。
blame,/bleɪm/,责备,v.,Don’t blame him.,不要责备他。
bleed,/bliːd/,流血,v.,His finger is bleeding.,他的手指在流血。
break,/breɪk/,打破,v.,He broke the window.,他打破了窗户。
breath,/breθ/,呼吸,n.,Take a deep breath.,深呼吸。
breathe,/briːð/,呼吸,v.,We breathe air.,我们呼吸空气。
bring,/brɪŋ/,带来,v.,Bring me a cup of water.,给我带一杯水。
build,/bɪld/,建造,v.,They built a house.,他们建了一栋房子。
burn,/bɜːn/,燃烧,v.,The fire burned all night.,火燃烧了一整晚。
burst,/bɜːst/,爆发,v.,The balloon burst.,气球爆了。
buy,/baɪ/,购买,v.,I bought a new phone.,我买了一部新手机。
calm,/kɑːm/,冷静的,adj.,Stay calm in danger.,危险中保持冷静。
cancel,/ˈkænsl/,取消,v.,They cancelled the trip.,他们取消了旅行。
care,/keə(r)/,关心,v.,I care about you.,我关心你。
carry,/ˈkæri/,携带,v.,Carry your bag.,带上你的包。
catch,/kætʃ/,抓住,v.,Catch the ball.,接住球。
cause,/kɔːz/,导致,v.,Smoking causes illness.,吸烟导致疾病。
celebrate,/ˈselɪbreɪt/,庆祝,v.,We celebrate his birthday.,我们庆祝他的生日。
change,/tʃeɪndʒ/,改变,v.,Everything has changed.,一切都变了。
charge,/tʃɑːdʒ/,收费,v.,They charge 10 yuan.,他们收费10元。
check,/tʃek/,检查,v.,Check your homework.,检查你的作业。
choose,/tʃuːz/,选择,v.,Choose a good book.,选一本好书。
clean,/kliːn/,清洁,v.,Clean your room.,打扫你的房间。
clear,/klɪə(r)/,清楚的,adj.,The sky is clear.,天空很晴朗。
climb,/klaɪm/,爬,v.,Climb the mountain.,爬山。
close,/kləʊz/,关闭,v.,Close the door.,关门。
collect,/kəˈlekt/,收集,v.,He collects stamps.,他集邮。
combine,/kəmˈbaɪn/,结合,v.,Combine work and rest.,劳逸结合。
come,/kʌm/,来,v.,Come here quickly.,快过来。
comfort,/ˈkʌmfət/,安慰,v.,I comforted her.,我安慰了她。
commit,/kəˈmɪt/,承诺,v.,He committed to help.,他承诺帮忙。
compare,/kəmˈpeə(r)/,比较,v.,Compare the two pictures.,比较这两张图。
compete,/kəmˈpiːt/,竞争,v.,They compete for prizes.,他们争夺奖品。
complain,/kəmˈpleɪn/,抱怨,v.,Don’t complain too much.,不要抱怨太多。
complete,/kəmˈpliːt/,完成,v.,I completed the task.,我完成了任务。
concern,/kənˈsɜːn/,关心,v.,It concerns all of us.,这关系到我们所有人。
confirm,/kənˈfɜːm/,确认,v.,Please confirm your email.,请确认你的邮件。
connect,/kəˈnekt/,连接,v.,Connect the computer to WiFi.,把电脑连WiFi。
consider,/kənˈsɪdə(r)/,考虑,v.,Consider my suggestion.,考虑我的建议。
contact,/ˈkɒntækt/,联系,v.,Contact me anytime.,随时联系我。
contain,/kənˈteɪn/,包含,v.,The box contains toys.,盒子里装着玩具。
continue,/kənˈtɪnjuː/,继续,v.,Continue your work.,继续你的工作。
control,/kənˈtrəʊl/,控制,v.,Control your temper.,控制你的脾气。
convince,/kənˈvɪns/,说服,v.,I convinced him to go.,我说服他去了。
cook,/kʊk/,烹饪,v.,She cooks delicious food.,她做的饭很好吃。
copy,/ˈkɒpi/,复制,v.,Copy the text.,复制这段文字。
correct,/kəˈrekt/,正确的,adj.,Your answer is correct.,你的答案是对的。
cost,/kɒst/,花费,v.,The pen costs 5 yuan.,这支笔5元。
count,/kaʊnt/,数数,v.,Count from one to ten.,从一数到十。
cover,/ˈkʌvə(r)/,覆盖,v.,Snow covers the ground.,雪覆盖了地面。
create,/kriˈeɪt/,创造,v.,He created a new game.,他创造了一个新游戏。
cross,/krɒs/,穿过,v.,Cross the street carefully.,小心过马路。
cry,/kraɪ/,哭,v.,The baby is crying.,宝宝在哭。
